episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,220.0,220.0
1,1,0.02,0.0033,0.0017,0.00049,-8e-05,7e-05,-1e-05,0.05125,0.05107,0.04997,0.05124,0.05104,0.04994,0.52171,0.00831,0.03284,1.0,0.0,0.0,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,2,0.04,0.00869,0.00411,0.00154,-6e-05,5e-05,-1e-05,0.1837,0.18356,0.18267,0.18369,0.18356,0.18272,0.52171,0.00831,0.02676,1.0,0.0,0.0,0.0,0.0173,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,3,0.06,0.01435,0.00591,0.00237,-3e-05,3e-05,0.0,0.38287,0.38281,0.38219,0.38286,0.38281,0.38224,0.52171,0.00831,0.02179,1.0,0.0,-0.0,0.0,0.02269,0.02269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,4,0.08,0.02007,0.00693,0.00283,-1e-05,1e-05,0.0,0.63643,0.63643,0.63599,0.63643,0.63642,0.63603,0.52171,0.00831,0.02253,1.0,0.0,-0.0,0.0,0.02835,0.02835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,5,0.1,0.0258,0.00739,0.00303,0.0,2e-05,0.0,0.8351,0.83019,0.83118,0.83522,0.83091,0.82994,0.52171,0.00831,0.0236,1.0,0.0,-0.0,-0.0,0.03406,0.03406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,6,0.12,0.03152,0.00753,0.00308,0.0,0.0,0.0,0.82567,0.82441,0.82458,0.82567,0.82443,0.82476,0.52171,0.00831,0.02426,1.0,0.0,-0.0,-0.0,0.0398,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,7,0.14,0.03723,0.00754,0.00306,-0.0,0.0,0.0,0.82558,0.82425,0.82643,0.82558,0.82434,0.82626,0.52171,0.00831,0.0246,1.0,0.0,-0.0,-0.0,0.04552,0.04552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,8,0.16,0.04293,0.00751,0.00303,-0.0,0.0,0.0,0.82576,0.82433,0.82733,0.82576,0.8244,0.8272,0.52171,0.00831,0.02476,1.0,0.0,-0.0,-0.0,0.05123,0.05123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
1,9,0.18,0.04864,0.00748,0.00301,-0.0,0.0,0.0,0.82576,0.82433,0.82735,0.82576,0.8244,0.82723,0.52171,0.00831,0.02483,1.0,0.0,-0.0,-0.0,0.05693,0.05693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0
