episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,16,0.32,0.0034,-0.03911,0.06689,0.13918,-0.10922,-0.08336,0.82568,0.82412,0.82737,0.82583,0.82459,0.82721,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00376,0.00376,-0.05193,-0.05193,0.07279,0.07279,0.15453,0.15453,-0.11813,-0.11813,-0.09712,-0.09712,220.0,220.0
1,17,0.34,0.00366,-0.04289,0.07308,0.14948,-0.11495,-0.09299,0.82569,0.82414,0.82736,0.82583,0.82458,0.82722,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00402,0.00402,-0.05586,-0.05586,0.07941,0.07941,0.16489,0.16489,-0.12349,-0.12349,-0.10733,-0.10733,220.0,220.0
1,18,0.36,0.00391,-0.04678,0.07957,0.15981,-0.12043,-0.10299,0.8257,0.82415,0.82736,0.82583,0.82458,0.82722,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00428,0.00428,-0.05989,-0.05989,0.08632,0.08632,0.17527,0.17527,-0.1286,-0.1286,-0.11787,-0.11787,220.0,220.0
1,19,0.38,0.00417,-0.05077,0.08635,0.17014,-0.12565,-0.11334,0.82571,0.82417,0.82736,0.82583,0.82457,0.82723,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00454,0.00454,-0.06403,-0.06403,0.09356,0.09356,0.18563,0.18563,-0.13345,-0.13345,-0.12874,-0.12874,220.0,220.0
1,20,0.4,0.00443,-0.05487,0.09344,0.18048,-0.13063,-0.12402,0.8257,0.82417,0.82735,0.82581,0.82455,0.82722,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.0048,0.0048,-0.06829,-0.06829,0.10112,0.10112,0.19597,0.19597,-0.13807,-0.13807,-0.13991,-0.13991,220.0,220.0
1,21,0.42,0.00469,-0.05909,0.10086,0.19079,-0.13536,-0.13502,0.8257,0.82417,0.82734,0.8258,0.82453,0.82722,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00506,0.00506,-0.07268,-0.07268,0.10901,0.10901,0.20626,0.20626,-0.14244,-0.14244,-0.15138,-0.15138,220.0,220.0
1,22,0.44,0.00495,-0.06343,0.1086,0.20107,-0.13985,-0.14632,0.82572,0.8242,0.82735,0.82581,0.82454,0.82724,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00532,0.00532,-0.0772,-0.0772,0.11726,0.11726,0.21649,0.21649,-0.14656,-0.14656,-0.16312,-0.16312,220.0,220.0
1,23,0.46,0.00521,-0.0679,0.11669,0.21129,-0.14409,-0.1579,0.82572,0.8242,0.82734,0.8258,0.82452,0.82723,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00557,0.00557,-0.08185,-0.08185,0.12586,0.12586,0.22664,0.22664,-0.15045,-0.15045,-0.17512,-0.17512,220.0,220.0
1,24,0.48,0.00546,-0.0725,0.12513,0.22144,-0.14809,-0.16975,0.82571,0.8242,0.82734,0.82579,0.82451,0.82723,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00583,0.00583,-0.08665,-0.08665,0.13482,0.13482,0.23669,0.23669,-0.15408,-0.15408,-0.18737,-0.18737,220.0,220.0
1,25,0.5,0.00572,-0.07725,0.13393,0.2315,-0.15184,-0.18185,0.82572,0.82421,0.82734,0.82579,0.8245,0.82724,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00608,0.00608,-0.0916,-0.0916,0.14416,0.14416,0.24663,0.24663,-0.15748,-0.15748,-0.19985,-0.19985,220.0,220.0
